Lagoa do Mato (MA);9557;9648;9741;9938;10047;10155;10536;10639;10922;10955;10989;11005;11020;11034;11048;11235;11250
Lago dos Rodrigues (MA);8489;8296;8227;8083;8004;7925;7993;7940;7769;7744;8775;8745;8716;8689;8664;8889;8873
Lagoa Grande do Maranhão (MA);8352;8332;8268;8135;8061;7988;9287;9363;12879;12501;12687;12822;11111;11202;11286;11320;11394
Lajeado Novo (MA);5864;5969;6086;6331;6467;6602;6829;6937;7016;7106;7211;7287;7359;7427;7489;7496;7550
Lima Campos (MA);10798;10811;10840;10900;10934;10967;11706;11794;11475;11525;11580;11612;11642;11670;11695;11867;11893
Loreto (MA);9304;10142;10196;10311;10374;10437;10646;10701;11495;11597;11714;11795;11871;11943;12009;12098;12157
Luís Domingues (MA);5722;5717;5714;5708;5704;5700;6884;6997;6571;6629;6697;6744;6788;6829;6867;6917;6951
Magalhães de Almeida (MA);13212;13342;13491;13804;13977;14149;14653;14808;17938;18277;18680;18982;19267;19532;19779;19620;19826
Maracaçumé (MA);15215;15465;15743;16327;16650;16971;18098;18414;19566;19887;20268;20549;20815;21063;21293;21201;21395
Marajá do Sena (MA);7153;7106;7081;7027;6997;6968;6979;6954;7772;7751;7721;7689;7658;7630;7604;7810;7792
Maranhãozinho (MA);7826;9027;9298;9865;10179;10491;12299;12684;14118;14524;15011;15384;15734;16062;16366;16013;16265
Mata Roma (MA);11948;12050;12166;12411;12546;12680;14252;14491;15408;15657;15951;16169;16375;16567;16745;16679;16829
Matinha (MA);19826;20041;20418;21207;21644;22078;21037;21204;22089;22286;22515;22673;22822;22962;23091;23256;23370
Matões (MA);26573;26668;26776;27005;27132;27257;29134;29386;31307;32216;32545;32773;32988;33188;33374;33615;33782
Matões do Norte (MA);7532;7607;7687;7855;7948;8040;10944;11295;14283;14755;15322;15758;16169;16552;16908;16451;16745
Milagres do Maranhão (MA);5056;4931;7569;7540;7524;7510;7838;7854;8157;8195;8237;8261;8284;8306;8326;8445;8464
Mirador (MA);19882;20489;20759;21327;21641;21953;19999;19991;20495;20537;20576;20586;20596;20605;20613;21000;21015
Miranda do Norte (MA);16349;16511;16692;17070;17280;17487;18288;18494;25065;25681;26419;26979;27507;27999;28456;28001;28381
Mirinzal (MA);13144;13248;13360;13597;13727;13857;14201;14311;14312;14402;14504;14570;14632;14690;14744;14913;14962
Monção (MA);26101;26186;26253;26392;26470;26546;28386;28602;32157;31717;32180;32516;32833;32884;33156;33201;33434
Montes Altos (MA);10461;10539;10628;10814;10918;11020;9055;8914;9342;9272;9183;9102;9026;8955;8889;9209;9160
Morros (MA);14144;14956;15124;15476;15671;15865;17620;17916;18028;18265;18544;18747;18938;19116;19282;19292;19433
Nina Rodrigues (MA);8377;8455;8533;8695;8785;8874;10326;10527;12785;13095;13465;13746;14012;14259;14489;14264;14454
Nova Colinas (MA);3998;4096;4185;4372;4476;4579;4987;5094;4961;5034;5120;5183;5243;5298;5350;5340;5384
Nova Iorque (MA);4440;4461;4423;4342;4298;4254;5041;5087;4594;4598;4599;4595;4592;4589;4586;4683;4683
Nova Olinda do Maranhão (MA);15120;15212;15004;14568;14326;14086;17646;17835;19401;19659;19963;20184;20393;20588;20768;20774;20928
Olho d'Água das Cunhãs (MA);17130;17131;17109;17064;17037;17011;17868;17923;18711;18816;18934;19009;19080;19145;19206;19448;19505
Olinda Nova do Maranhão (MA);10112;10113;10106;10091;10083;10075;12456;12684;13416;13643;13911;14110;14299;14474;14637;14563;14701
Paço do Lumiar (MA);80371;83409;86760;93796;97689;101554;101452;103958;107764;110321;113378;115693;117877;119915;122420;120621;122197
Palmeirândia (MA);17468;17621;17787;18136;18328;18520;18646;18772;18896;19007;19133;19213;19288;19359;19424;19661;19722
Paraibano (MA);18079;18291;18494;18920;19156;19390;20048;20255;20276;20443;20636;20768;20892;21008;21116;21290;21386
Parnarama (MA);32907;32708;32819;33052;33181;33309;35972;36300;34791;33669;33883;34018;34146;34265;34375;34805;34907
Passagem Franca (MA);14805;14955;15019;15153;15227;15301;17625;17898;17773;17977;18216;18387;18549;18699;18839;18898;19019
Pastos Bons (MA);15550;15784;15935;16251;16425;16599;18055;18306;18268;18461;18687;18848;18999;19140;19271;19358;19472
Paulino Neves (MA);11628;11718;11807;11994;12098;12201;13195;13355;14749;14971;15234;15427;15609;15779;15937;15901;16035
Paulo Ramos (MA);16554;19234;19208;19154;19123;19093;16534;16236;20396;20454;20514;20539;20612;20635;20657;21015;21040
Pedreiras (MA);40405;40879;41366;42390;42957;43519;39049;38934;39419;39391;39337;38582;38506;38433;38365;39267;39229
Pedro do Rosário (MA);18993;19738;20566;22304;23266;24220;22417;22856;23099;23454;23874;24183;24475;24748;25000;24930;25144
Penalva (MA);30410;30512;30611;30818;30933;31047;34505;34907;34717;35996;36520;36899;37255;37833;38144;38203;38470
Peri Mirim (MA);13038;13007;12977;12915;12881;12846;12556;12492;13844;13898;13956;13989;14019;14048;14074;14291;14318
Peritoró (MA);17811;18168;18554;19365;19813;20258;19601;19817;21498;21785;22123;22369;22602;22818;23019;23025;23196
Pindaré-Mirim (MA);27668;28457;28607;28923;29099;29272;31879;32236;31384;31609;31866;32037;32198;32348;32488;32815;32941
Pinheiro (MA);68945;69588;70311;71828;72668;73502;76391;77182;78876;79566;80365;80917;81438;81924;82374;82990;83387
Pio XII (MA);24809;25421;26054;27384;28120;28850;22410;22220;21860;21708;21512;21333;21164;21007;20861;21594;21485
Pirapemas (MA);15499;14829;14692;14405;14246;14088;15477;15500;17555;17722;17917;18053;18182;18302;18413;18527;18625
Poção de Pedras (MA);22121;21936;21730;21299;21060;20824;16184;15533;19592;19165;18633;18191;17773;17384;17023;18157;17873
